param,payload_index
COM_AFT_SENS1,2
COM_AFT_SENS2,3
COM_BENDRANGE,0
COM_DYNAMICS,4
COM_MOD_SENS,1
COM_TRNS_SW,19
COM_VOLUME,5
CTRL_GLIDE,20
CTRL_GLIDE_TYPE,21
CTRL_WHL,22
DLY_AMOUNT,87
DLY_REGEN,86
DLY_TIME,85
FLT_ATTACK1,56
FLT_ATTACK2,57
FLT_CONTOUR,65
FLT_CUTOFF,55
FLT_DECAY1,59
FLT_DECAY2,60
FLT_EMPHASIS,58
FLT_GATE,69
FLT_KEY13,61
FLT_KEY23,62
FLT_MTRIG,66
FLT_NORM,67
FLT_REL,68
FLT_SUSTAIN1,63
FLT_SUSTAIN2,64
LFO_FILTER,78
LFO_FLT,80
LFO_MODE,81
LFO_OSC,76
LFO_OSC_SEL,79
LFO_RATE,75
LFO_SYNC,82
LFO_WAVE,77
MIX_FEEDBACK,48
MIX_NOISE,49
MIX_OSC1,45
MIX_OSC2,46
MIX_OSC3,47
OSC_ENV1,35
OSC_FINE1,29
OSC_FINE2,30
OSC_KYBD,36
OSC_RANGE1,25
OSC_RANGE2,26
OSC_RANGE3,27
OSC_SYNC,34
OSC_WAVEFORM1,31
OSC_WAVEFORM2,32
OSC_WAVEFORM3,33
OSC_XMOD,37
XMOD_O2FLT,40
XMOD_O3PW,42
XMOD_O3TO,41
